,Date,Tag,lda_tag,Max_Score,Avg_Score,Avg_duration_to_accept,Avg_acceptance_rate,Tag_Row_count
0,2008-08-01,svn,directori,144,144.0,-1608.0,100.0,1
1,2008-08-01,tortoisesvn,directori,144,144.0,-1608.0,100.0,1
2,2008-09-01,actionscript-3,flash,11,11.0,-2334.0,100.0,1
3,2008-09-01,flex,text,8,8.0,-1361.0,100.0,1
4,2008-09-01,svn,develop,151,151.0,-1496.0,100.0,4
5,2008-09-01,svn,directori,8,8.0,-2462.0,100.0,4
6,2008-09-01,svn,flex,55,52.0,-1424.0,100.0,4
7,2008-09-01,svn,subvers,596,596.0,-1650.0,100.0,4
8,2008-10-01,flex,flash,7,7.0,-1211.0,100.0,1
9,2008-10-01,svn,develop,51,21.0,-1539.6666666666667,100.0,1
10,2008-10-01,tortoisesvn,develop,11,11.0,-1451.0,100.0,1
11,2009-01-01,flex,applic,2,2.0,-2348.0,100.0,1
12,2009-02-01,flex,flash,5,5.0,-2356.0,100.0,1
13,2009-03-01,flex,flex,2,2.0,-1650.0,100.0,1
14,2009-03-01,svn,subvers,50,50.0,-1315.0,100.0,1
15,2009-05-01,svn,server,10,5.5,-1.0,100.0,1
16,2009-06-01,svn,subvers,44,44.0,-1241.0,100.0,1
17,2009-07-01,actionscript-3,merg,16,16.0,-1020.0,100.0,1
18,2009-09-01,actionscript-3,flash,0,0.0,-1085.0,100.0,1
19,2009-11-01,svn,flash,17,17.0,-1323.0,100.0,1
20,2009-11-01,tortoisesvn,flash,17,17.0,-1323.0,100.0,1
21,2009-12-01,flex,flex,-2,-2.0,-1199.0,100.0,1
22,2010-01-01,svn,subvers,11,11.0,-1.0,100.0,1
23,2010-03-01,flex,applic,2,2.0,-1918.0,100.0,1
24,2010-04-01,svn,subvers,14,14.0,-1504.0,100.0,1
25,2010-04-01,tortoisesvn,subvers,14,14.0,-1504.0,100.0,1
26,2010-05-01,tortoisesvn,flash,40,40.0,-876.0,100.0,1
27,2010-06-01,actionscript-3,commit,0,0.0,-1827.0,100.0,1
28,2010-06-01,air,commit,0,0.0,-1827.0,100.0,1
29,2010-06-01,svn,applic,0,0.0,-885.0,100.0,1
30,2010-08-01,actionscript-3,develop,3,3.0,-800.0,100.0,1
31,2010-09-01,svn,develop,2,2.0,-1586.0,100.0,2
32,2010-09-01,svn,subvers,11,11.0,-695.0,100.0,2
33,2010-10-01,flex,flex,0,0.0,-1802.0,100.0,1
34,2010-12-01,svn,flash,1,1.0,-1666.0,100.0,1
35,2011-01-01,air,develop,0,0.0,-717.0,100.0,1
36,2011-01-01,svn,text,1,1.0,-1.0,100.0,1
37,2011-02-01,actionscript-3,develop,1,1.0,-581.0,100.0,1
38,2011-02-01,svn,server,6,3.6666666666666665,-928.3333333333334,100.0,1
39,2011-03-01,svn,flex,5,5.0,-1009.0,100.0,1
40,2011-05-01,svn,server,2,2.0,-1.0,100.0,1
41,2011-05-01,tortoisesvn,server,2,2.0,-1.0,100.0,1
42,2011-06-01,svn,flex,1,1.0,-1.0,100.0,1
43,2011-07-01,flex,text,-4,-4.0,-246.0,100.0,1
44,2011-08-01,actionscript-3,text,0,0.0,-1.0,100.0,1
45,2011-08-01,svn,merg,-2,-2.0,-147.0,100.0,1
46,2011-09-01,flex,text,-2,-2.0,-1.0,100.0,1
47,2011-09-01,svn,applic,0,0.0,-911.0,100.0,4
48,2011-09-01,svn,commit,2,2.0,-1.0,100.0,4
49,2011-09-01,svn,develop,1,1.0,-561.0,100.0,4
50,2011-09-01,svn,server,3,3.0,-538.0,100.0,4
51,2011-09-01,tortoisesvn,server,3,3.0,-538.0,100.0,1
52,2011-10-01,actionscript-3,text,-2,-2.0,-3.0,100.0,1
53,2011-11-01,flex,flash,2,2.0,-277.0,100.0,1
54,2011-11-01,svn,server,2,2.0,-1.0,100.0,1
55,2012-01-01,actionscript-3,applic,2,2.0,-27.0,100.0,2
56,2012-01-01,actionscript-3,text,1,1.0,-1.0,100.0,2
57,2012-01-01,air,applic,2,2.0,-27.0,100.0,1
58,2012-01-01,flex,develop,12,12.0,-565.0,100.0,2
59,2012-01-01,flex,text,1,1.0,-1.0,100.0,2
60,2012-01-01,svn,applic,0,0.0,-176.0,100.0,1
61,2012-02-01,actionscript-3,develop,0,0.0,-1.0,100.0,1
62,2012-02-01,flex,develop,0,0.0,-1.0,100.0,1
63,2012-02-01,svn,server,0,0.0,-3.0,100.0,1
64,2012-03-01,actionscript-3,merg,0,0.0,-1.0,100.0,1
65,2012-03-01,flex,merg,0,0.0,-1.0,100.0,1
66,2012-04-01,actionscript-3,directori,0,0.0,-1.0,100.0,2
67,2012-04-01,actionscript-3,text,1,-0.6666666666666666,-2.0,100.0,2
68,2012-04-01,air,text,0,0.0,-1.0,100.0,1
69,2012-04-01,svn,applic,0,0.0,-441.0,100.0,1
70,2012-05-01,svn,commit,1,1.0,-1.0,100.0,1
71,2012-06-01,actionscript-3,flex,-1,-1.0,-670.0,100.0,1
72,2012-06-01,flex,text,-1,-1.0,-630.0,100.0,1
73,2012-08-01,svn,develop,2,2.0,-3.0,100.0,1
74,2012-10-01,actionscript-3,applic,0,0.0,-2.0,100.0,1
75,2012-10-01,flex,text,0,0.0,-1.0,100.0,1
76,2012-10-01,svn,applic,1,1.0,-1399.0,100.0,1
77,2012-10-01,tortoisesvn,applic,1,1.0,-1399.0,100.0,1
78,2012-11-01,actionscript-3,text,-1,-1.0,-29.0,100.0,1
79,2013-01-01,actionscript-3,commit,5,5.0,-1.0,100.0,2
80,2013-01-01,actionscript-3,text,0,0.0,-1.0,100.0,2
81,2013-01-01,flex,develop,3,3.0,-1.0,100.0,2
82,2013-01-01,flex,flash,3,0.5,-1.0,100.0,2
83,2013-02-01,svn,server,0,0.0,-2.0,100.0,1
84,2013-03-01,actionscript-3,merg,-1,-1.0,-5.0,100.0,1
85,2013-03-01,svn,merg,0,0.0,-1.0,100.0,1
86,2013-04-01,flex,applic,4,4.0,-1.0,100.0,1
87,2013-06-01,flex,develop,-4,-4.0,-1.0,100.0,1
88,2013-06-01,svn,applic,1,1.0,-306.0,100.0,1
89,2013-07-01,actionscript-3,develop,1,1.0,-393.0,100.0,1
90,2013-07-01,air,develop,1,1.0,-393.0,100.0,1
91,2013-07-01,flex,applic,2,2.0,-2.0,100.0,1
92,2013-08-01,svn,subvers,-1,-1.0,-195.0,100.0,1
93,2013-09-01,actionscript-3,flash,1,1.0,-224.0,100.0,1
94,2013-09-01,svn,flex,0,0.0,-1.0,100.0,1
95,2013-10-01,svn,applic,-1,-1.0,-153.0,100.0,1
96,2013-12-01,svn,text,-1,-1.0,-77.0,100.0,1
97,2014-01-01,actionscript-3,directori,-4,-4.0,-54.0,100.0,1
98,2014-01-01,svn,develop,2,1.5,-1.0,100.0,1
99,2014-03-01,actionscript-3,merg,0,0.0,-1.0,100.0,1
100,2014-04-01,svn,server,1,1.0,-1.0,100.0,1
101,2014-07-01,actionscript-3,directori,-1,-1.0,-1.0,100.0,1
102,2014-07-01,flex,flash,-1,-1.0,-2.0,100.0,1
103,2014-09-01,actionscript-3,flex,3,3.0,-509.0,100.0,1
104,2014-09-01,flex,flex,3,3.0,-509.0,100.0,1
105,2014-09-01,svn,directori,1,1.0,-1.0,100.0,1
106,2014-09-01,tortoisesvn,directori,1,1.0,-1.0,100.0,1
107,2014-11-01,actionscript-3,merg,-3,-3.0,-1.0,100.0,1
108,2014-12-01,actionscript-3,merg,-1,-1.0,-1.0,100.0,1
109,2015-02-01,svn,commit,1,1.0,-1.0,100.0,1
110,2015-08-01,actionscript-3,text,-1,-1.0,-1.0,100.0,1
111,2015-09-01,svn,commit,0,0.0,-1.0,100.0,1
112,2015-10-01,actionscript-3,merg,-2,-2.0,-4.0,100.0,2
113,2015-10-01,actionscript-3,text,-1,-1.0,-1.0,100.0,2
114,2015-10-01,svn,commit,0,0.0,-1.0,100.0,2
115,2015-10-01,svn,server,0,0.0,-27.0,100.0,2
116,2015-10-01,tortoisesvn,commit,0,0.0,-1.0,100.0,2
117,2015-10-01,tortoisesvn,server,0,0.0,-27.0,100.0,2
118,2015-12-01,svn,server,2,2.0,-1.0,100.0,1
119,2016-03-01,actionscript-3,text,-2,-2.0,-1.0,100.0,1
120,2016-03-01,svn,applic,0,0.0,-1.0,100.0,1
121,2016-04-01,actionscript-3,develop,-1,-1.0,-10.0,100.0,1
122,2016-04-01,flex,develop,-1,-1.0,-10.0,100.0,1
123,2016-05-01,svn,server,0,0.0,-4.0,100.0,1
124,2016-07-01,actionscript-3,text,-1,-1.0,-2.0,100.0,1
125,2016-07-01,flex,text,-1,-1.0,-2.0,100.0,1
126,2016-08-01,svn,commit,0,0.0,-6.0,100.0,1
127,2016-09-01,svn,applic,0,0.0,-1.0,100.0,1
